Town ID,Town Name,Registered Voters,Issued Ballots,Valid Votes,Strana zelených,Švýcarská demokracie,VOLNÝ blok,Svoboda a př. demokracie (SPD),Česká str.sociálně demokrat.,ALIANCE NÁRODNÍCH SIL,Trikolora Svobodní Soukromníci,Aliance pro budoucnost,Hnutí Prameny,PŘÍSAHA Roberta Šlachty,"SPOLU – ODS, KDU-ČSL, TOP 09",Urza.cz: Nechceme vaše hlasy,Koruna Česká (monarch.strana),PIRÁTI a STAROSTOVÉ,Komunistická str.Čech a Moravy,ANO 2011,Otevřeme ČR normálnímu životu
565997,Bitozeves,358,195,194,"0,00 %","0,00 %","0,51 %","13,40 %","4,12 %","0,51 %","1,54 %","0,00 %","0,00 %","5,15 %","17,01 %","0,00 %","0,00 %","6,18 %","4,12 %","46,90 %","0,51 %"
566004,Blatno,411,289,287,"1,04 %","0,00 %","0,00 %","11,49 %","2,09 %","0,00 %","2,43 %","0,00 %","0,00 %","5,57 %","12,54 %","0,00 %","0,00 %","10,10 %","10,80 %","42,85 %","1,04 %"
566012,Blažim,215,125,125,"0,00 %","0,00 %","2,40 %","8,00 %","5,60 %","0,80 %","4,80 %","0,00 %","0,00 %","4,00 %","20,00 %","0,00 %","0,00 %","12,00 %","4,00 %","37,60 %","0,80 %"
566021,Blšany,806,495,494,"1,21 %","0,20 %","2,63 %","10,12 %","2,63 %","0,00 %","1,01 %","0,00 %","0,20 %","5,06 %","13,36 %","0,00 %","0,00 %","10,72 %","3,64 %","48,58 %","0,60 %"
542547,Blšany u Loun,294,221,218,"0,00 %","0,45 %","1,83 %","13,30 %","6,42 %","0,00 %","0,91 %","0,00 %","0,00 %","5,04 %","24,77 %","0,45 %","0,00 %","14,22 %","5,04 %","27,06 %","0,45 %"
546895,Brodec,80,63,63,"0,00 %","0,00 %","0,00 %","9,52 %","7,93 %","0,00 %","0,00 %","0,00 %","0,00 %","9,52 %","12,69 %","1,58 %","0,00 %","4,76 %","7,93 %","46,03 %","0,00 %"
566063,Břvany,256,142,142,"3,52 %","0,00 %","0,70 %","16,19 %","3,52 %","0,00 %","0,70 %","0,70 %","0,00 %","3,52 %","10,56 %","0,70 %","0,00 %","7,74 %","2,81 %","47,88 %","1,40 %"
542571,Cítoliby,830,523,523,"0,95 %","0,38 %","1,91 %","8,41 %","2,67 %","0,00 %","3,44 %","0,19 %","0,00 %","5,16 %","22,75 %","0,00 %","0,95 %","13,95 %","2,29 %","35,94 %","0,95 %"
530581,Čeradice,233,127,127,"0,00 %","0,00 %","1,57 %","12,59 %","5,51 %","0,00 %","0,78 %","0,00 %","0,00 %","5,51 %","14,17 %","0,00 %","0,00 %","8,66 %","3,14 %","45,66 %","2,36 %"
542628,Černčice,1 082,684,675,"2,22 %","0,29 %","0,88 %","12,29 %","3,70 %","0,00 %","2,22 %","0,29 %","0,00 %","4,29 %","19,11 %","0,44 %","0,14 %","9,62 %","6,07 %","37,48 %","0,88 %"
566128,Deštnice,171,96,94,"3,19 %","1,06 %","2,12 %","22,34 %","4,25 %","0,00 %","1,06 %","1,06 %","0,00 %","0,00 %","11,70 %","0,00 %","0,00 %","9,57 %","1,06 %","41,48 %","1,06 %"
546861,Dobroměřice,1 103,779,776,"0,77 %","0,00 %","1,41 %","11,34 %","4,89 %","0,00 %","2,31 %","0,25 %","0,00 %","3,73 %","18,17 %","0,00 %","0,12 %","8,11 %","7,98 %","40,07 %","0,77 %"
